Company Name,Company Type,Phone No,Website URL,Description
FCC Agribusiness and Agri-Food,"All, Financial",(519) 826-2020 x.39,fcc-fac.ca,"FCC Agribusiness and Agri-Food provides
specialized financial services, products and
resources for businesses that support primary
producers on both sides of the farm gate. Whether
you’re looking to minimize your operating costs,
diversify your assets or expand your business,
we’ll partner with you to take your operation
further. With over 50 years of history and a loan
portfolio that tops $36 billion. We partner with
over 100,000 customers from all areas of Canada’s
diverse agriculture industry and understand the
important role your business has to play."
CIBC,"All, Financial",(519) 357-5849,cibc.com,"Our agri-business team has the financial products,
services and advisory skills to meet your needs
from start-up, growth and through succession."
BDC,"All, Financial, Funding",(905) 988-2878,bdc.ca,"We are BDC, the Business Development Bank of
Canada and the only financial institution devoted
exclusively to entrepreneurs.
We help create and develop strong Canadian
businesses through financing, advisory services
and capital, with a focus on small and
medium-sized enterprises.
* We support entrepreneurs in all industries and
at all stages of development from 123 business
centres across Canada and online at bdc.ca.
* We’re committed to the long-term success of
Canadian entrepreneurs and we understand that a
business is more than just dollars and cents.
* We complement the role played by private-sector
financial institutions and have been serving
Canadian entrepreneurs since 1944.
* We are a financially sustainable Crown
corporation and we operate at arm’s length from
our sole shareholder, the Government of Canada."
Thermogenics,"All, Facilities, IT",(905) 727-1901,thermogenicsboilers.com,"Thermogenics is a leading manufacturer of coiled
tube steam, hot water and thermal fluid boilers
and related equipment. The company’s products are
used by leading food processing manufacturers
across North America. Thermogenics also provides
best-in-class parts and 24/7 service support
delivered via factory-trained technicians and
manages a fleet of unique rental equipment to
serve temporary or emergency needs. With its
comprehensive product and service offering,
Thermogenics functions as a one-stop shop for all
of its customers’ most complex steam and heating
requirements.
Thermogenics operates from its head office in
Aurora, ON and is proud to participate in the
‘Ontario Made’ program. The company also maintains
sales and service operations in Cincinnati, OH,
Chicago, IL, Houston, TX, Jacksonville, FL and
Ottawa, ON."
Millwright Local 1916,"All, Facilities, IT, Maintenance",(905) 385-2462,millwrightlocal1916.com,"We employ the safest, technically skilled
millwright workforce today. The 1916 mission is to
stand strong with our members and business
partners to help achieve success. We provide the
education advances in leadership, skill, quality,
productivity safety and attitude with a goal of
creating a constructive culture within the
construction industry and proving a competitive
workforce for our contactors and owners. All of
our certified tradespersons are HACCP training by
the GFTC ( Guelph Food and Technology Centre)
Using 1916 HACCP certified tradesperson is a solid
decision for HACCP registered establishments with
regards to proper documentation and internal and
external audits."
EDC,"All, Export, Financial",519-858-6210,edc.ca,"Export Development Canada (EDC) is Canada’s export
credit agency and provides financing, credit
insurance, bonding solutions and international
trade advise to Canadian exporters. EDC’s mission
is to help Canadian companies go, grow and succeed
in markets across the world."
Fidelio by Commsoft Technologies,"All, ERP",(514) 937-4519,commsoft.ca,"Fidelio is an all-in-one, intuitive ERP system
available on the cloud. We help growing food and
beverage SMEs take the digital turn. What we do
best? Provide SMEs with high-performance,
cutting-edge tools that are tailored to their
unique challenges."
"VEGA Instuments, Canada Ltd","All, Equipment",(833) 538-8342,vega.com,"VEGA’s full product line of level, pressure,
density, and weight measurement solutions allows
us to provide one of the most complete ranges of
measurement solutions in the industry. We are
proud to apply our products and solutions to serve
a wide variety of industries, including food and
beverage.
We believe the future of instrumentation lies in
the ability to produce high quality, innovative
products that keep pace with technology, and
provide service and value to our customers."
Sinox,"All, Equipment",(418) 885-8276,groupesinox.com,"From process engineering to start-up and
manufacturing, we are the specialist in stainless
steel food processing equipment. For more than 25
years, our ""solver"" spirit has been at your
service to meet the challenges of any level of
complexity. Our offer is flexible, but we are
always guided by the pillars of our mission."
Pivot Systems,"All, Equipment, Facilities, IT, Maintenance",(416) 994-9028,pivotsystems.ca,"Pivot Systems Ltd. are a full service Multi-trade
Contracting firm totally committed to their
clients satisfaction and will work diligently to
earn your respect and repeat business.
COMPANY SKILLED TRADE EXPERIENCE & SERVICES
* Experienced Construction / Industrial
Managers
* Experienced Project Management
* Millwrights
* Pipefitters
* Electricians
* Electrical & Mechanical Process
Improvements
* Certified Welders & Fitters
* Process Piping Specialists and Fabrication
services
* Sanitary Pipe fitting, Orbital welding and Weld
purity assurance
* Certified High & Low Pressure Steam Fitting
Services
* Fabrications Services
* Equipment Moving, Hoisting & Rigging
Specialists
* Equipment & Conveyor Systems
Installations
* Plant move and relocation services
* Material Handling Systems Installations
* Maintenance & Shutdown Support
Pivot has over 30 years experience in providing
client turnkey installations solutions nationwide
in the sectors listed below.
SECTOR EXPERIENCE
* Automotive
* Heavy Manufacturing
* Food & Beverage
* Brewery Systems & Installation
Specialists
* Pharmaceutical
* Industrial Sector
* Packaging Systems
* Industrial /Automotive Material Handling
Systems
* Transportation Airport Baggage Handling
Systems
* Greenfield Projects & Commercial Sectors
CORPORATE COMMITMENT TO HEALTH & SAFETY
Pivot`s attention to detail and safety is what has
propelled them as an industry leader.
The success of our organization depends on our
reputation to provide a quality product and
service, in a safe and timely manner.
Health & Safety must be incorporated into all
facets or our operations.
To that end, Pivot Systems is proud to be
certified in the Infrastructure Health and Safety
Association of Ontario and has achieved our
National COR Standard Certification status in
February 2017.
We have very solid client relationships and
references when required and we subscribe to ISNET
World, Avetta, ComplyWorks and are Cognibox
compliant."
Axiom Millwrighting + Fabrication Inc,"All, Equipment",(226) 747-6826,axiomtrades.com,"Axiom Industrial Solutions is a multi-trade
contractor specializing in turn-key technical and
trade solutions for the Food and Beverage
manufacturing sector. Headquartered in Cambridge,
Ontario, Axiom extends our services across North
America with a mobile workforce of experienced
Project Managers, Millwrights, Pipers, and
Installers. Our services include:
Project Management
Millwrighting/Mechanical Installation
Piping
Custom Fabrication
Mechanical Design
Conveyors and Custom Equipment
Maintenance Support
Established in 2003 as a privately-owned
Canadian company, our extensive experience with
the food and beverage sectors position us an
industry leader. Truly understanding Food
Safety, all our staff are HACCP certified and
Axiom’s HACCP Interactive Program is an
initiative driven by Axiom and officially
audited by NSF Canada."
Veolia Water Technologies Canada Inc.,"All, Environmental",514 334-7230,veoliawatertech.com,"Veolia is the global leader in optimized resource
management. With over 163,000 employees worldwide
and 160 years of experience, Veolia designs and
provides creative and effective water, waste and
energy management solutions that contribute to the
sustainable development of communities and
industries.
Building upon the 1,200 Food & Beverage
projects it successfully executed across the
globe, Veolia is recognized for applying its
capacity for innovation to improving the
performance of its Food & Beverage clients."
IFAB Engineering Partners Ltd.,"All, Engineering",519-957-1944,ifabpartners.com,"Our team at IFAB Engineering Partners Ltd. offers
significant practical expertise in hygienic
facility design and compliance with multiple food
processing regulations (CFIA, FDA, BRC, Campden,
HACCP). In-house professionals represent all
building engineering disciplines, and work in a
coordinated effort toward maximum efficiency.
Collective experience in the industry – including
many years of experience with operations teams at
some of the largest food companies in Canada –
leads to practical solutions, efficient facility
design, and access to an ever growing global
network of food and beverage specialists.
Areas of specialty include primary and secondary
protein processing, continuous line baking and
snack food production, dairy processing, vegetable
and thermal processing, confectionery, temperature
controlled buildings, beverage pasteurization, and
packaging.
Members of the IFAB Engineering Team have project
experience with a vast range of food and beverage
clients, including:
* A & E Dairy
* Aliments ASTA inc.
* Agromex-Pork
* Atlantic Beef Products Inc.
* Basha International Foods
* BHJ Canada
* Big Country Raw
* Blue Goose Pure Foods Ltd.
* Blendtek Fine Ingredients
* Bothwell Cheese
* Campbell’s
* Canada Bread Company Limited
* Cargill Meat Solutions
* Chudleigh’s
* Conestoga College
* Conestoga Meats
* Country Meats
* Delft Blue Food Innovations
* Dennis Group
* Donald’s Fine Foods
* Eden Valley Poultry
* Exceldor Cooperative
* Ferrero Canada Limited
* Fraser Valley Specialty Poultry
* Freshouse Foods
* Freshstone Brands Inc.
* Frito Lay Canada
* Frontmatec
* G. Brandt Meat Packers Ltd.
* Gay Lea Foods Co-operative Ltd
* Give and Go Prepared Foods
* Great Lakes Specialty Meats
* High Liner Foods
* High Park Holdings Ltd.
* High Park Farms
* Hung’s Noodle House
* HyLife Foods, Springhill Farms
* Ingenuity
* Janes Family Foods
* JJD & Son
* King Cole Ducks Limited
* Kitchen Partners Limited
* Les Viandes du Breton Inc.
* Lilydale Foods
* Manitoba Harvest
* Maple Leaf Foods
* Maple Lodge Farms
* Mariposa Dairy
* Matt & Steve’s
* McCain
* Outcast Foods
* The Minute Maid Company
* Mirexus Biotechnologies Inc.
* Mountain Top Foods Ltd.
* Newrest Corporation
* Northern Quinoa
* Olymel
* Pac-Rite Meat Products Inc.
* Pre Pak Meats
* Pioneer Meat Ltd.
* Queen Street Bakery
* Redpath Sugar Ltd.
* Redstone Food Consultants
* Reena Enterprises
* Reinhart Foods Limited
* Saputo Foods
* Shape Foods
* Sgamboro’s Signature Seafoods
* Sofina Foods
* Solis Foods Corporation Inc.
* Steeped Fine Loose Tea
* Surati Sweet Mart Limited
* Sysco
* Tender Choice Foods Inc.
* Thunder Creek Pork
* Trophy Foods Inc.
* Vantage Foods Inc.
* XL Foods
* Yorkshire Family Farms
* Yosemite Meat Co.
* YOSO
Our team of professionals is both eager and
talented, and provides a complete range of
services from concept design to construction
management. We have the ability and expertise to
tackle projects in all areas of the food and
beverage industries, and have partners to help
complete every aspect of the project.
We Work for Food!"
Ag Energy Co-operative Ltd.,"All, Energy",519-763-3026,agenergy.coop,"Ag Energy Co-operative is dedicated to developing
energy solutions for our Members and customers.
Founded in 1988 by Ontario growers, our membership
quickly grew to include consumers from all over
the agri-food and agri-tech sector. Our customer
base represents many different industries both
within and outside of the agricultural sector. As
a co-operative our priority has always been our
Members, who own our company. This dynamic with
our Members make us incredibly responsive to our
consumers’ needs.
Ag Energy understands that your energy
requirements are unique, which is why we will work
with you to develop a customized energy solution.
Our years of experience working in the natural gas
and electricity landscape have made us experts in
our field. With our guidance our customers are
able to navigate complicated energy policy
regulations, like cap and trade. We also advocate
on behalf of the agri-food and agri-tech sectors
to ensure your concerns are communicated to
policymakers. With our energy expertise and
agricultural roots, we bring years of industry
expertise to your business."
Tri-Electric Solutions Ltd.,"All, Electrical, Equipment, Maintenance",(519) 568-7883,tri-electric.com,"With over 35 years experience, Tri-Electric has
become an industry leader in the food, beverage,
pharmaceutical, and personal health care
industries. Located in Elmira, Ontario,
Tri-Electric offers a full service, multi-trade
solution provider for all your manufacturing,
facility, and integration needs. We are committed
to providing our customers with the best-in-class;
Custom Automation, Engineering, Design, and
installation services. Our experienced HACCP
trained management team and trades people are
passionate about what they do and their top
quality craftsmanship is reflective of this
passion.
Customer Commitment: We develop relationships that
make a positive difference in our customers lives.
Quality: We provide outstanding products and an
unsurpassed service that, together, deliver
premium value to our customers. Teamwork: We work
together, across boundaries, to meet the needs of
our customers, to help them succeed. Integrity: We
uphold the highest standards of integrity in all
our actions. Respect for People: We value our
customers, encourage our staff development and
reward their performance. We are personally
accountable for delivering on our commitments."
Spark Power,"All, Electrical",(905) 208-0142,sparkpowercorp.com,"Spark Power / New Electric is a full-service
industrial electrical and automation contractor
delivering first-rate technical services and 24/7
rapid response support for over 45 years.
We understand the challenges being faced in the
food and beverage industry today. We continue to
work with our customers to help increase
production efficiency, maintain code compliance
and ensure HACCP standards are carried out. We
have a proven track record delivering successful
projects in Ontario. Spark Power brings to each
project depth of knowledge in the Food Industry,
strength of F&B experience in our management
team and an ability to meet resourcing
requirements, both immediate and for future needs
as they arise.
It is our mission to respond with urgency,
expertise and professionalism to minimize the
length and frequency of downtime"
"Ontario Agricultural College – University of
                                Guelph","All, Education",(519) 824-4120 ext. 52285,uoguelph.ca,"The Ontario Agricultural College (OAC) of the
University of Guelph is internationally renowned
for its research, teaching and knowledge extension
in the broad areas of food, agriculture,
communities and the environment.
The OAC community includes 3,700 diploma,
undergraduate and graduate students, 35,000
alumni, 140 faculty and 600 staff members. Our
community also has a strong sense of shared
purpose: To Improve Life by inspiring leaders,
generating knowledge and creating innovative
solutions for food, agriculture, communities and
the environment."
"Mohawk College Energy and Power Innovation
                                Centre","All, Education, Research",9059737186,mohawkcollege.ca,"The Energy & Power Innovation Centre (EPIC)
provides expertise and facilities to support
Canadian companies with their operational
challenges with a particular focus on energy and
resource management. EPIC also supports utilities
and electrical companies with developing new
solutions, as well as training in state-of-the-art
facilities.
EPIC is also home to the Energy & Power
Technology Access Centre (TAC), a national
resource for the Canadian manufacturing and
agri-food sector. As a TAC, EPIC helps companies
who would like to adopt energy technologies that
can reduce operating costs throughout the
manufacturing process and/or de-risk the
implementation of new technologies.
The cross-functional research team - which
includes EPIC applied research staff, dedicated
co-op students and Engineering Technology Faculty
members- works collaboratively with the Sensor
Systems and Internet of Things (IoT) Lab, the
Centre for Climate Change Management, the Additive
Manufacturing Innovation Centre (AMIC), and the
mHealth & eHealth Development and Innovation
Centre (MEDIC)."
"Fanshawe College – Centre for Research and
                                Innovation","All, Education",(519) 452-4430 ext. 4121,fanshawec.ca,"Fanshawe is a comprehensive college serving the
greater London region by providing flexible
learning arrangements and experiential education
opportunities developed in response to labour
market needs.
One of Ontario’s largest colleges - with four
campuses in London, Simcoe, St. Thomas and
Woodstock - Fanshawe serves close to half a
million people with a promise to educate, engage,
empower and excite.
We offer more than 200 degree, diploma,
certificate and apprenticeship programs to 43,000
students each year, helping people unlock their
potential and achieve success in a variety of
disciplines including applied arts, business,
health care, human services, hospitality and
technology."
Algonquin College,"All, Education",613-727-4723,algonquincollege.com,
Brampton Economic Development Office,"All, Economic Development",416.606.3946,brampton.ca,"The Brampton Economic Development Office Provides
one-on-one assistance to help guide investors and
provide strategic advice in steering through the
development approval process. Whether you are
looking for customized guidance, expert sector
advice or access to funding programs, we can help.
Sector Leads
As Brampton moves to take a prominent position as
a major urban centre, our Economic Development
approach is transforming to match. Brampton’s
Economic Development Office has a new sector-based
approach, anticipating the skills and industries
of tomorrow, while accounting for traditional
strengths."
CHEP Canada,"All, Distribution, Pallets",(866) 261-2437,chep.com,"Our platforms and solutions enable profitability
and sustainability without having to compromise
one for the other. We manage, maintain, transport
and supply more than 300 million platforms that
are shared and reused by growers, manufacturers,
distributors and retailers.
For 60 years, we’ve empowered supply chains to use
higher quality platforms, connect with more
trading partners, reduce transportation, create
less waste, use less natural resources, lower
platform inventories and attain the efficiencies
of standardization.
CHEP manages, maintains, transports, and supplies
more than 300 million platforms for our customers.
Our higher quality pallets, containers, RPCs,
bins, trays and store displays support the
construction, handling and transport of more
efficient and sustainable product loads. CHEP
platforms and services play a critical role within
every leg and across every trading partner in the
supply chain."
MNP LLP.,"All, Consulting",(519) 623-3820,mnp.ca,"Delivering the right solution. For every client.
Every time.
You need a firm who understands who you are, where
you’re coming from and where you want to go. MNP
is that firm.
As one of the largest accounting and business
consulting firms in Canada, MNP knows that it
takes more than skills and experience to serve
your business. It takes a commitment to your
growth, the time to understand the complexities of
your operation and industry and the specialized
insight to create strategies that address where
your business is and get your business where you
want it to be.
MNP has an extensive history of offering our
clients a full suite of accounting, consulting and
tax services to meet their needs in every aspect
of the business. Through partner-led engagements,
we provide a collaborative and cost-effective
approach to doing business and personalized
strategies to help your organization succeed
across the country and around the world."
Enviro-Stewards Inc.,"All, Consulting, Environmental",(519) 578-5100,enviro-stewards.com,"Since its founding in 2000, Enviro-Stewards has
created environmental and economic sustainability
solutions for a wide range of businesses. These
solutions have helped businesses to alleviate
ongoing resource and financial concerns by
mitigating the source of their problems — not just
focusing on the symptoms. Taking a holistic
approach, our team conducts a full-spectrum
assessment and implementation, focused on
prevention, resource conservation, and improving
your bottom line. Rather than performing a
traditional audit, with a specific focus on
solving your end-state dilemma, we examine the
root cause in order to develop innovative and
sustainable solutions."
CSL,"All, Construction",519-658-2750 x226,collaborativestructures.com,"CSL is a multi-disciplined construction service
company, specializing in the Food & Beverage
Industry.
Since our inception in 2003, CSL has shown
significant growth that can be directly related to
our goal of providing exceptional services to our
Clients and our commitment to Project Execution
Excellence.
CSL has successfully delivered projects to many
different Food & Beverage Ontario members
ranging from small service contracts to weekend
shut-downs to major capital projects exceeding
$100 million. CSL's diverse internal structure
allows us to be nimble enough to complete a wide
variety of projects from the smallest of service
contracts to larger renovations or new builds.
For more information, please visit us at
www.collaborativestructures.com!"
Ecolab,"All, Chemicals, IT, Sanitation",519 870 8038,ecolab.ca,"Ecolab is the global leader in water, hygiene and
energy technologies and services. Around the world
businesses in foodservice, food processing,
hospitality, healthcare, industrial, and oil and
gas markets choose Ecolab products and services to
keep their environment clean and safe, operate
efficiently and achieve sustainability goals."
SGS Canada Inc.,"All, Certification, Training",(905) 867-7412,sgs.ca,"SGS is the world’s leading inspection,
verification, testing and certification company.
SGS is recognized as the global benchmark for
quality and integrity. With more than 97,000
employees, SGS operates a network of over 2,600
offices and laboratories around the world. We are
constantly looking beyond customers’ and society’s
expectations in order to deliver market leading
services wherever they are needed. As the leader
in providing specialized business solutions that
improve quality, safety and productivity and
reduce risk, we help customers navigate an
increasingly regulated world. Our independent
services add significant value to our customers’
operations and ensure business sustainability."
Qualtech,"All, Automation",418-686-3802,qualtech.ca,"We offer a wide range of specialized manufacturing
equipment, process capabilities and stainless
steel components, which are manufactured and
tailored to the needs of our customers in the
agrofood, industrial, biopharmaceutical and
brewing sectors. Our unique expertise includes
engineering, design, construction, installation
and automation capabilities. We respond precisely,
with competence and rigour, to the needs of
customers looking for turnkey “design to
implementation” solutions. Qualtech now has over
250 collaborators based at six sites in Quebec and
Ontario, as well as a permanent technical support
capability in Wisconsin (USA)."
ifm efector Canada Inc.,"All, Automation, Equipment",855-436-2262,ifm.com,"After many years of intensive cooperation with our
customers in various industries, including food
& beverage, we have established ourselves in
the manufacturing / automation market as
service-oriented sensor specialists. Today, we are
represented by more than 7,300 employees in over
95 countries worldwide. Though we have grown into
a large, international company, we have still
maintained the virtues of our founding years: the
flexibility and individuality of a small
organization and the quality and professionalism
of a global enterprise. Still, our customers are
at the core of our work – ifm, always close to
you! Contact us at 855-IFM CANA (855-436-2262)."
"Harpak-ULMA Packaging, LLC","All, Automation, Packaging","(508) 884-2500, ext 125",harpak-ulma.com,"Harpak-ULMA Packaging offers a very broad range of
packaging technologies to suit many needs - from
simple, single components to highly complex,
automated, fully integrated packaging lines.
Discover our many capabilities including tray
forming, tray sealing, flow pack, VFFS, meal
assembly, thermoforming, automation, cartoning,
sleeving and case packing. Our full-service
solutions address package design, installation,
training, spare parts, service and customer
support. Our goal is to provide every G. Mondini
and ULMA solution with Rockwell Automation
integrated architecture and smart connectivity to
reduce solution complexity and maintenance costs,
while realizing better quality, capacity, and
throughput. We focus on lowering your total cost
of ownership and offering the most reliable
systems available."
ABB Inc.,"All, Automation, Equipment",(905) 639-8840,abb.ca,"ABB is a leading global technology company that
energizes the transformation of society and
industry to achieve a more productive, sustainable
future. By connecting software to its
electrification, robotics, automation and motion
portfolio, ABB pushes the boundaries of technology
to drive performance to new levels."
Wine Growers Ontario,"All, Associations",(905) 562-9426,winegrowersontario.ca,"Wine Growers Ontario is an alliance of leading
wineries and grape growers working together to
ensure the entire Ontario wine industry is robust,
sustainable and profitable today, tomorrow and
many years to come. We are generations of
winemakers as well as new entrepreneurs. We
cultivate vast acreages of grapes and smaller
vineyards too. Together, we are proud of our
international acclaim for award winning wines
produced from the beautiful, rich and diverse Wine
Country of Ontario. We are committed to offering a
wide range of quality wines to enjoy at any
occasion, from 100% Ontario Vintners Quality
Alliance (VQA) to International Domestic Blends
(IDB) wines, our award winning wines span the
taste preference, quality and value appreciated by
our local customers. But most of all, we are
personally and collectively passionate about the
grape and wine industry and truly committed to its
continued success here at home and around the
globe. www.wgao.ca"
Grain Farmers of Ontario,"All, Associations",(519) 763-3342,gfo.ca,"Grain Farmers of Ontario is the province’s largest
commodity organization, representing Ontario’s
28,000 barley, corn, oat, soybean and wheat
farmers. The crops they grow cover 6 million acres
of farm land across the province, generate over
$2.5 billion in farm gate receipts, result in over
$9 billion in economic output and are responsible
for over 40,000 jobs in the province."
Chicken Farmers Ontario,"All, Associations",(905) 637-0025,ontariochicken.ca,
Association of Ontario Chicken Processors,"All, Associations",(519) 836-8383 ext 1,aocp.ca,
